region_ejecucion,institucion_principal,ubicacion_institucion
12. MAGALLANES Y ANTARTICA CHILENA,UNIVERSIDAD DE MAGALLANES,12. MAGALLANES Y ANTARTICA CHILENA
12. MAGALLANES Y ANTARTICA CHILENA,UNIVERSIDAD DE CONCEPCION,FUERA REGION
12. MAGALLANES Y ANTARTICA CHILENA,UNIVERSIDAD DE SANTIAGO DE CHILE,FUERA REGION
11. AYSEN,UNIVERSIDAD DE CHILE,FUERA REGION
12. MAGALLANES Y ANTARTICA CHILENA,INSTITUTO ANTARTICO CHILENO,12. MAGALLANES Y ANTARTICA CHILENA
11. AYSEN,UNIVERSIDAD AUSTRAL DE CHILE,11. AYSEN
12. MAGALLANES Y ANTARTICA CHILENA,CEQUA,12. MAGALLANES Y ANTARTICA CHILENA
12. MAGALLANES Y ANTARTICA CHILENA,FUNDACION PARA EL DESARROLLO DE LA XII REGION MAGALLANES,12. MAGALLANES Y ANTARTICA CHILENA
12. MAGALLANES Y ANTARTICA CHILENA,HEIDELBERG UNIVERSITY,FUERA REGION
12. MAGALLANES Y ANTARTICA CHILENA,UNIVERSITE MONTPELLIER 2,FUERA REGION
11. AYSEN,CIEP,11. AYSEN
12. MAGALLANES Y ANTARTICA CHILENA,INIA MAGALLANES,12. MAGALLANES Y ANTARTICA CHILENA
11. AYSEN,UNIVERSIDAD DE AYSEN,11. AYSEN
12. MAGALLANES Y ANTARTICA CHILENA,PONTIFICIA UNIVERSIDAD CATOLICA DE VALPARAISO,FUERA REGION
12. MAGALLANES Y ANTARTICA CHILENA,UNIVERSIDAD AUSTRAL DE CHILE,FUERA REGION
11. AYSEN,UNIVERSIDAD DE LOS LAGOS,FUERA REGION
12. MAGALLANES Y ANTARTICA CHILENA,UNIVERSIDAD ANDRES BELLO,FUERA REGION
11. AYSEN,UNIVERSIDAD CATOLICA DE TEMUCO,FUERA REGION
12. MAGALLANES Y ANTARTICA CHILENA,UNIVERSIDAD TECNICA FEDERICO SANTA MARIA,FUERA REGION
12. MAGALLANES Y ANTARTICA CHILENA,ESCUELA BERNARDO O'HIGGINS RIQUELME,12. MAGALLANES Y ANTARTICA CHILENA
11. AYSEN,ESCUELA COMANDANTE LUIS BRAVO BRAVO,11. AYSEN
12. MAGALLANES Y ANTARTICA CHILENA,ESCUELA CAPITAN ARTURO PRAT,12. MAGALLANES Y ANTARTICA CHILENA
12. MAGALLANES Y ANTARTICA CHILENA,LICEO LUIS ALBERTO BARRERA,12. MAGALLANES Y ANTARTICA CHILENA
11. AYSEN,LICEO SAN JOSE U.R.,11. AYSEN
11. AYSEN,ESCUELA AGRICOLA DE LA PATAGONIA,11. AYSEN
12. MAGALLANES Y ANTARTICA CHILENA,LICEO MARIA AUXILIADORA,12. MAGALLANES Y ANTARTICA CHILENA
12. MAGALLANES Y ANTARTICA CHILENA,ESCUELA LIBERTADOR CAPITAN GENERAL BERNARDO O'HIGGINS PUNTA ARENAS,12. MAGALLANES Y ANTARTICA CHILENA
12. MAGALLANES Y ANTARTICA CHILENA,ESCUELA RURAL DE CONCENTRACION FRONTERIZA G-7 DOROTEA,12. MAGALLANES Y ANTARTICA CHILENA
11. AYSEN,COLEGIO ADAN DARIO BECERRA,11. AYSEN
11. AYSEN,COLEGIO DIEGO PORTALES,11. AYSEN
11. AYSEN,ESCUELA MUNICIPAL AONIKENK,11. AYSEN
11. AYSEN,COLEGIO SANTA TERESA DE LOS ANDES,11. AYSEN
12. MAGALLANES Y ANTARTICA CHILENA,SIN INFORMACION,12. MAGALLANES Y ANTARTICA CHILENA
11. AYSEN,SIN INFORMACION,11. AYSEN
12. MAGALLANES Y ANTARTICA CHILENA,PONTIFICIA UNIVERSIDAD CATOLICA DE CHILE,FUERA REGION
12. MAGALLANES Y ANTARTICA CHILENA,COLEGIO LUTERANO,12. MAGALLANES Y ANTARTICA CHILENA
12. MAGALLANES Y ANTARTICA CHILENA,JARDIN INFANTIL MARROS,12. MAGALLANES Y ANTARTICA CHILENA
11. AYSEN,ESCUELA ELUHUEN,11. AYSEN
12. MAGALLANES Y ANTARTICA CHILENA,JARDIN INFANTIL Y SALA CUNA ETNICO FAMILIAR UKIKA,12. MAGALLANES Y ANTARTICA CHILENA
12. MAGALLANES Y ANTARTICA CHILENA,JARDIN INFANTIL Y SALA CUNA TURRON,12. MAGALLANES Y ANTARTICA CHILENA
11. AYSEN,ESCUELA ALTAMIRA DE COYHAIQUE,11. AYSEN
11. AYSEN,ESCUELA BAQUEDANO,11. AYSEN
12. MAGALLANES Y ANTARTICA CHILENA,FUNDACION OMORA ONG,12. MAGALLANES Y ANTARTICA CHILENA
11. AYSEN,ONG DE DESARROLLO AUMEN O EL ECO DE LOS MONTES,11. AYSEN
11. AYSEN,CLUB NAUTICO ESCUALO,11. AYSEN
11. AYSEN,UNIVERSIDAD DE CONCEPCION,FUERA REGION
12. MAGALLANES Y ANTARTICA CHILENA,INSTITUTO DE ECOLOGIA Y BIODIVERSIDAD,12. MAGALLANES Y ANTARTICA CHILENA
12. MAGALLANES Y ANTARTICA CHILENA,COMISION NACIONAL DEL MEDIO AMBIENTE XII REGION CONAMA,12. MAGALLANES Y ANTARTICA CHILENA
MULTIREGIONAL,UNIVERSIDAD DE MAGALLANES,12. MAGALLANES Y ANTARTICA CHILENA
11. AYSEN,DIRECCION DE SALUD RURAL DE AYSEN,11. AYSEN
